,Cve_Ent,Cve_Mun,nmun,tmax,tmin,Value
339,12,11,Atoyac de Álvarez,30.74,22.56,402
340,12,12,Ayutla de los Libres,30.68,19.64,98
341,12,13,Azoyú,32.82,21.3,785
342,12,15,Buenavista de Cuéllar,26.1,16.26,863
343,12,16,Coahuayutla de José María Izazaga,31.9,20.85,252
344,12,17,Cocula,27.98,14.975,961
345,12,18,Copala,31.54,23.92,704
346,12,19,Copalillo,30.13,17.41,399
347,12,20,Copanatoyac,25.48,14.48,173
348,12,21,Coyuca de Benítez,31.49,22.59,227
349,12,22,Coyuca de Catalán,27.89,19.11,652
350,12,23,Cuajinicuilapa,32.9,22.94,911
351,12,24,Cualác,28.57,16.21,286
352,12,25,Cuautepec,31.79,22.34,245
353,12,26,Cuetzala del Progreso,27.92,17.66,146
354,12,27,Cutzamala de Pinzón,28.98,19.2,340
355,12,28,Chilapa de Álvarez,25.99,15.25,843
356,12,29,Chilpancingo de los Bravo,24.16,15.66,503
357,12,30,Florencio Villarreal,28.75,23.57,68
358,12,31,General Canuto A. Neri,24.39,16.99,875
359,12,32,General Heliodoro Castillo,25.21,16.61,525
360,12,33,Huamuxtitlán,30.15,17.08,507
361,12,34,Huitzuco de los Figueroa,28.82,17.4,409
362,12,35,Iguala de la Independencia,28.25,17.62,447
363,12,36,Igualapa,31.9,20.27,344
364,12,37,Ixcateopan de Cuauhtémoc,22.16,14.76,216
365,12,38,Zihuatanejo de Azueta,31.61,22.44,647
366,12,39,Juan R. Escudero,27.34,18.98,576
367,12,40,Leonardo Bravo,24.85,15.66,846
368,12,41,Malinaltepec,26.7,16.27,995
369,12,42,Mártir de Cuilapan,27.94,16.33,874
370,12,43,Metlatónoc,27.15,16.55,144
371,12,44,Mochitlán,28.37,17.58,822
372,12,45,Olinalá,29.53,16.85,155
373,12,46,Ometepec,33.05,20.91,756
374,12,47,Pedro Ascencio Alquisiras,20.9,14.19,788
375,12,48,Petatlán,31.04,21.95,508
376,12,49,Pilcaya,20.96,13.25,497
377,12,50,Pungarabato,30.77,20.83,910
378,12,51,Quechultenango,27.94,17.13,72
379,12,52,San Luis Acatlán,30.73,19.88,844
380,12,53,San Marcos,30.93,17.465,308
381,12,54,San Miguel Totolapan,25.58,17.8,449
382,12,55,Taxco de Alarcón,22.69,14.65,674
383,12,56,Tecoanapa,31.66,20.4,60
384,12,57,Técpan de Galeana,30.63,22.62,923
385,12,58,Teloloapan,23.88,16.31,496
386,12,59,Tepecoacuilco de Trujano,29.97,18.07,470
387,12,60,Tetipac,20.42,13.17,388
388,12,61,Tixtla de Guerrero,26.13,15.23,945
389,12,62,Tlacoachistlahuaca,30.7,18.62,991
390,12,63,Tlacoapa,25.41,15.13,760
391,12,64,Tlalchapa,28.97,19.62,470
392,12,65,Tlalixtaquilla de Maldonado,28.62,16.25,509
393,12,66,Tlapa de Comonfort,27.66,15.64,645
394,12,67,Tlapehuala,30.11,20.47,447
395,12,68,La Unión de Isidoro Montes de Oca,31.84,23.72,266
396,12,69,Xalpatláhuac,26.23,15.39,482
397,12,70,Xochihuehuetlán,30.72,17.76,27
398,12,71,Xochistlahuaca,31.34,18.77,175
399,12,72,Zapotitlán Tablas,22.55,14.68,60
400,12,73,Zirándaro,30.33,19.81,37
401,12,74,Zitlala,27.19,15.61,297
402,12,75,Eduardo Neri,26.69,16.33,616
403,12,76,Acatepec,27.39,16.9,405
404,12,77,Marquelia,32.05,22.64,941
405,12,78,Cochoapa el Grande,27.68,16.93,211
406,12,79,José Joaquín de Herrera,25.64,15.13,214
407,12,80,Juchitán,32.7,22.55,427
408,12,81,Iliatenco,27.81,17.29,669
409,13,2,Acaxochitlán,23.57,11.27,997
410,13,4,Agua Blanca de Iturbide,23.07,12.51,833
411,13,5,Ajacuba,24.34,9.61,28
412,13,6,Alfajayucan,24.98,11.42,514
413,13,7,Almoloya,22.31,8.39,363
414,13,8,Apan,22.29,8.52,23
415,13,9,El Arenal,25.815,10.51,482
416,13,10,Atitalaquia,25.38,9.71,484
417,13,11,Atlapexco,27.15,20.14,74
418,13,12,Atotonilco el Grande,19.44,9.97,979
419,13,13,Atotonilco de Tula,25.35,9.79,456
420,13,14,Calnali,23.92,17.75,641
421,13,15,Cardonal,24.54,13.38,248
422,13,16,Cuautepec de Hinojosa,23.52,9.17,525
423,13,17,Chapantongo,23.46,10.33,86
424,13,18,Chapulhuacán,25.41,17.1,97
425,13,19,Chilcuautla,25.21,10.63,685
426,13,22,Epazoyucan,23.27,9.07,104
427,13,24,Huasca de Ocampo,20.59,9.04,211
428,13,25,Huautla,28.2,20.58,76
429,13,26,Huazalingo,25.19,19.1,884
430,13,28,Huejutla de Reyes,27.37,20.29,492
431,13,29,Huichapan,24.73,11.74,354
432,13,30,Ixmiquilpan,25.25,12.4,660
433,13,31,Jacala de Ledezma,26.0,15.71,791
434,13,32,Jaltocán,27.0,19.88,661
435,13,33,Juárez Hidalgo,23.23,15.26,510
436,13,34,Lolotla,23.96,16.81,781
437,13,36,San Agustín Metzquititlán,21.0,12.34,201
438,13,37,Metztitlán,22.24,12.91,577
439,13,38,Mineral del Chico,19.55,8.66,617
440,13,39,Mineral del Monte,22.45,8.87,262
441,13,40,La Misión,25.64,16.19,539
442,13,41,Mixquiahuala de Juárez,24.66,9.86,127
443,13,42,Molango de Escamilla,23.15,15.76,529
444,13,43,Nicolás Flores,25.25,14.91,782
445,13,44,Nopala de Villagrán,23.2,10.45,179
446,13,45,Omitlán de Juárez,18.95,8.3,199
447,13,46,San Felipe Orizatlán,28.0,20.24,194
448,13,47,Pacula,26.92,15.83,782
449,13,48,Pachuca de Soto,23.62,9.37,450
450,13,49,Pisaflores,25.89,16.97,659
451,13,50,Progreso de Obregón,24.92,10.38,163
452,13,51,Mineral de la Reforma,24.42,9.58,252
453,13,52,San Agustín Tlaxiaca,22.96,9.37,955
454,13,53,San Bartolo Tutotepec,24.02,15.69,409
455,13,54,San Salvador,23.85,9.93,349
456,13,55,Santiago de Anaya,23.26,11.36,484
457,13,56,Santiago Tulantepec de Lugo Guerrero,23.85,9.21,837
458,13,57,Singuilucan,23.19,8.69,730
459,13,58,Tasquillo,25.97,12.58,177
460,13,59,Tecozautla,26.75,13.16,540
461,13,60,Tenango de Doria,23.58,13.4,297
462,13,61,Tepeapulco,22.76,8.85,722
463,13,62,Tepehuacán de Guerrero,25.09,17.37,195
464,13,63,Tepeji del Río de Ocampo,23.67,9.33,643
465,13,64,Tepetitlán,24.01,10.01,217
466,13,65,Tetepango,24.67,9.68,570
467,13,66,Villa de Tezontepec,24.68,10.39,767
468,13,67,Tezontepec de Aldama,25.12,9.98,216
469,13,68,Tianguistengo,22.92,16.13,673
470,13,69,Tizayuca,25.59,11.04,342
471,13,70,Tlahuelilpan,25.02,9.75,690
472,13,71,Tlahuiltepa,24.56,15.29,653
473,13,72,Tlanalapa,23.26,9.61,324
474,13,73,Tlanchinol,24.67,18.14,415
475,13,74,Tlaxcoapan,25.36,9.78,804
476,13,75,Tolcayuca,24.61,10.14,745
477,13,76,Tula de Allende,24.06,9.62,197
478,13,77,Tulancingo de Bravo,23.88,10.37,783
479,13,78,Xochiatipan,26.53,19.57,683
480,13,79,Xochicoatlán,22.58,15.71,182
481,13,80,Yahualica,26.0,19.38,270
482,13,81,Zacualtipán de Ángeles,21.87,14.11,572
483,13,82,Zapotlán de Juárez,24.74,9.95,682
484,13,83,Zempoala,23.79,9.66,985
485,13,84,Zimapán,25.94,14.63,443
486,14,1,Acatic,27.58,12.36,760
487,14,2,Acatlán de Juárez,28.32,11.87,461
488,14,3,Ahualulco de Mercado,29.46,11.88,992
489,14,4,Amacueca,23.37,10.53,297
490,14,5,Amatitán,30.17,11.98,267
491,14,6,Ameca,28.34,11.99,668
492,14,7,San Juanito de Escobedo,29.81,12.11,668
493,14,8,Arandas,26.81,11.47,946
494,14,10,Atemajac de Brizuela,24.03,11.13,644
495,14,11,Atengo,26.17,12.6,21
496,14,12,Atenguillo,24.99,12.22,793
497,14,13,Atotonilco el Alto,28.93,12.2,288
498,14,15,Autlán de Navarro,24.58,12.78,829
499,14,16,Ayotlán,29.32,12.67,922
500,14,17,Ayutla,24.2,13.05,376
501,14,18,La Barca,29.93,13.28,157
502,14,19,Bolaños,27.04,9.94,601
503,14,20,Cabo Corrientes,27.48,20.38,793
504,14,21,Casimiro Castillo,26.9,15.66,485
505,14,22,Cihuatlán,30.3,20.89,759
506,14,23,Zapotlán el Grande,23.23,11.96,659
507,14,25,Colotlán,24.83,7.09,728
508,14,26,Concepción de Buenos Aires,27.02,13.99,17
509,14,27,Cuautitlán de García Barragán,26.21,15.05,821
510,14,28,Cuautla,25.69,14.0,433
511,14,29,Cuquío,27.25,12.85,103
512,14,30,Chapala,27.3,16.38,487
513,14,31,Chimaltitán,27.37,10.61,958
514,14,32,Chiquilistlán,23.38,12.09,822
515,14,33,Degollado,29.39,13.15,661
516,14,34,Ejutla,24.59,13.16,520
517,14,35,Encarnación de Díaz,27.63,9.61,926
518,14,36,Etzatlán,29.14,12.24,102
519,14,37,El Grullo,24.44,12.22,308
520,14,38,Guachinango,28.17,13.05,467
521,14,39,Guadalajara,28.68,12.23,774
522,14,40,Hostotipaquillo,30.9,12.62,319
523,14,41,Huejúcar,23.61,6.26,300
524,14,42,Huejuquilla el Alto,24.57,5.86,934
525,14,43,La Huerta,29.62,20.7,576
526,14,44,Ixtlahuacán de los Membrillos,27.94,15.42,748
527,14,45,Ixtlahuacán del Río,28.43,12.07,873
528,14,46,Jalostotitlán,28.05,10.77,182
529,14,47,Jamay,28.71,15.11,594
530,14,49,Jilotlán de los Dolores,32.98,19.93,427
531,14,50,Jocotepec,28.04,13.41,451
