nmun,idmun,ides,tmax,tmin
Guerrero,14,28,25.496666666666666,11.426666666666668
Guevea de Humboldt,36,20,30.61,19.04
Gustavo A. Madero,5,9,27.795,15.57
Gustavo Díaz Ordaz,15,28,28.485,17.18
Gutiérrez Zamora,69,30,24.490000000000002,19.75
Gómez Farías,11,28,23.245,11.76
Gómez Palacio,7,10,25.96,12.475000000000001
Güémez,13,28,28.54,16.52
Halachó,33,31,33.375,20.92
Hecelchakán,5,4,33.495000000000005,20.560000000000002
Hermenegildo Galeana,68,21,20.85,14.005
Hermosillo,30,26,29.205,13.870000000000001
Heroica Ciudad de Ejutla de Crespo,28,20,28.130000000000003,13.364999999999998
Heroica Ciudad de Huajuapan de León,39,20,29.07,13.77
Heroica Ciudad de Juchitán de Zaragoza,43,20,33.504999999999995,25.235
Heroica Ciudad de Tlaxiaco,397,20,25.5,10.905000000000001
Heroica Villa Tezoatlán de Segura y Luna,549,20,27.89,12.655000000000001
Hidalgo,47,19,24.681,12.825
Hidalgo del Parral,32,8,23.29,10.35
Hidalgotitlán,70,30,30.32,22.369999999999997
Higueras,28,19,25.295,14.79
Hocabá,34,31,34.95,20.07
Hoctún,35,31,34.85,19.9
Homún,36,31,34.725,20.05
Honey,57,21,22.215,10.969999999999999
Hopelchén,6,4,33.269999999999996,19.745
Hostotipaquillo,40,14,31.32,13.58
Huachinera,31,26,21.295,4.955
Huajicori,5,18,28.23,12.465
Hualahuises,29,19,26.695,13.870000000000001
